Weight,Event,Record,Athlete,Date,Meet,sex
55,Clean & Jerk,166 kg,Om Yun-chol,18-Sep-19,World Championships,M
55,Total,294 kg,Om Yun-chol,18-Sep-19,World Championships,M
61,Snatch,145 kg,Li Fabin,19-Sep-19,World Championships,M
61,Clean & Jerk,174 kg,Eko Yuli Irawan,3-Nov-18,World Championships,M
61,Total,318 kg,Li Fabin,19-Sep-19,World Championships,M
67,Snatch,155 kg,Huang Minhao,6-Jul-19,Olympics Test Event,M
67,Clean & Jerk,188 kg,Pak Jong-ju,20-Sep-19,World Championships,M
67,Total,339 kg,Chen Lijun,21-Apr-19,Asian Championships,M
73,Snatch,168 kg,Shi Zhiyong,22-Apr-19,Asian Championships,M
73,Clean & Jerk,198 kg,Shi Zhiyong,10-Dec-19,World Cup,M
73,Total,363 kg,Shi Zhiyong,21-Sep-19,World Championships,M
81,Snatch,173 kg,Mohamed Ihab,5-Nov-18,World Championships,M
81,Clean & Jerk,207 kg,Lü Xiaojun,22-Sep-19,World Championships,M
81,Total,378 kg,Lü Xiaojun,22-Sep-19,World Championships,M
96,Snatch,186 kg,Sohrab Moradi,7-Nov-18,World Championships,M
96,Clean & Jerk,231 kg,Tian Tao,7-Jul-19,Olympics Test Event,M
96,Total,416 kg,Sohrab Moradi,7-Nov-18,World Championships,M
109,Snatch,199 kg,Simon Martirosyan,26-Sep-19,World Championships,M
109,Clean & Jerk,240 kg,Simon Martirosyan,9-Nov-18,World Championships,M
109,Total,435 kg,Simon Martirosyan,9-Nov-18,World Championships,M
484,Snatch,220 kg,Lasha Talakhadze,27-Sep-19,World Championships,M
484,Clean & Jerk,264 kg,Lasha Talakhadze,27-Sep-19,World Championships,M
484,Total,484 kg,Lasha Talakhadze,27-Sep-19,World Championships,M
49,Snatch,95 kg,Hou Zhihui,6-Jul-19,Olympics Test Event,F
49,Clean & Jerk,118 kg,Jiang Huihua,19-Sep-19,World Championships,F
49,Total,212 kg,Jiang Huihua,19-Sep-19,World Championships,F
55,Snatch,102 kg,Li Yajun,3-Nov-18,World Championships,F
55,Clean & Jerk,129 kg,Liao Qiuyun,20-Sep-19,World Championships,F
55,Total,227 kg,Liao Qiuyun,20-Sep-19,World Championships,F
59,Snatch,107 kg,Choe Hyo-sim,21-Sep-19,World Championships,F
59,Clean & Jerk,140 kg,Kuo Hsing-chun,21-Sep-19,World Championships,F
59,Total,246 kg,Kuo Hsing-chun,21-Sep-19,World Championships,F
64,Snatch,117 kg,Deng Wei,11-Dec-19,World Cup,F
64,Clean & Jerk,145 kg,Deng Wei,22-Sep-19,World Championships,F
64,Total,261 kg,Deng Wei,22-Sep-19,World Championships,F
71,Clean & Jerk,152 kg,Zhang Wangli,6-Nov-18,World Championships,F
71,Total,267 kg,Zhang Wangli,6-Nov-18,World Championships,F
76,Snatch,124 kg,Rim Jong-sim,24-Sep-19,World Championships,F
76,Clean & Jerk,156 kg,Zhang Wangli,26-Feb-19,World Cup,F
76,Total,278 kg,Rim Jong-sim,26-Apr-19,Asian Championships,F
148,Snatch,147 kg,Li Wenwen,28-Apr-19,Asian Championships,F
148,Clean & Jerk,186 kg,Li Wenwen,27-Sep-19,World Championships,F
148,Total,332 kg,Li Wenwen,27-Sep-19,World Championships,F
